PSBBEAM/B#value,PSBBEAM/B#value
X,Y
192.0,2320.5
193.0,2320.5
194.0,2320.5
195.0,2320.5
196.0,2320.5
197.0,2320.5
198.0,2320.5
199.0,2320.5
200.0,2320.5
201.0,2320.5
202.0,2320.5
203.0,2320.5
204.0,2320.5
205.0,2320.5
206.0,2320.5
207.0,2320.5
208.0,2320.5
209.0,2320.5
210.0,2320.5
211.0,2320.5
212.0,2320.5
213.0,2320.5
214.0,2320.5
215.0,2320.5
216.0,2320.5
217.0,2320.5
218.0,2320.5
219.0,2320.5
220.0,2320.5
221.0,2320.5
222.0,2320.5
223.0,2320.5
224.0,2320.5
225.0,2320.5
226.0,2320.5
227.0,2320.5
228.0,2320.5
229.0,2320.5
230.0,2320.5
231.0,2320.5
232.0,2320.5
233.0,2320.5
234.0,2320.5
235.0,2320.5
236.0,2320.5
237.0,2320.5
238.0,2320.5
239.0,2320.5
240.0,2320.5
241.0,2320.5
242.0,2320.5
243.0,2320.5
244.0,2320.5
245.0,2320.5
246.0,2320.5
247.0,2320.5
248.0,2320.5
249.0,2320.5
250.0,2320.5
251.0,2320.5
252.0,2320.5
253.0,2320.5
254.0,2320.5
255.0,2320.5
256.0,2320.5
257.0,2320.5
258.0,2320.5
259.0,2320.5
260.0,2320.5
261.0,2320.5
262.0,2320.5
263.0,2320.5
264.0,2320.5
265.0,2320.5
266.0,2320.5
267.0,2320.5
268.0,2320.5
269.0,2320.5
270.0,2320.5
271.0,2320.5
272.0,2320.5
273.0,2320.5
274.0,2320.5
275.0,2320.5
275.6,2320.5
275.7,2320.504
275.8,2320.515
275.9,2320.535
276.0,2320.562
276.1,2320.597
276.2,2320.64
276.3,2320.691
276.4,2320.75
276.5,2320.817
276.6,2320.893
276.7,2320.976
276.8,2321.068
276.9,2321.168
277.0,2321.277
277.1,2321.394
277.2,2321.52
277.3,2321.654
277.4,2321.797
277.5,2321.949
277.6,2322.109
277.7,2322.279
277.8,2322.457
277.9,2322.644
278.0,2322.84
278.1,2323.045
278.2,2323.259
278.3,2323.483
278.4,2323.716
278.5,2323.958
278.6,2324.209
278.7,2324.47
278.8,2324.74
278.9,2325.02
279.0,2325.309
279.1,2325.608
279.2,2325.917
279.3,2326.235
279.4,2326.564
279.5,2326.902
279.6,2327.25
279.7,2327.608
279.8,2327.976
279.9,2328.355
280.0,2328.743
280.1,2329.142
280.2,2329.551
280.3,2329.97
280.4,2330.4
280.5,2330.84
280.6,2331.291
280.7,2331.752
280.8,2332.224
280.9,2332.707
281.0,2333.201
281.1,2333.705
281.2,2334.22
281.3,2334.746
281.4,2335.283
281.5,2335.831
281.6,2336.391
281.7,2336.961
281.8,2337.543
281.9,2338.136
282.0,2338.74
282.1,2339.356
282.2,2339.983
282.3,2340.622
282.4,2341.272
282.5,2341.934
282.6,2342.607
282.7,2343.293
282.8,2343.99
282.9,2344.699
283.0,2345.42
283.1,2346.153
283.2,2346.898
283.3,2347.655
283.4,2348.425
283.5,2349.206
283.6,2350.0
283.7,2350.8
283.8,2351.6
283.9,2352.4
284.0,2353.201
284.1,2354.001
284.2,2354.802
284.3,2355.603
284.4,2356.403
284.5,2357.204
284.6,2358.005
284.7,2358.807
284.8,2359.608
284.9,2360.409
285.0,2361.211
285.1,2362.012
285.2,2362.814
285.3,2363.616
285.4,2364.418
285.5,2365.22
285.6,2366.022
285.7,2366.824
285.8,2367.626
285.9,2368.429
286.0,2369.232
286.1,2370.034
286.2,2370.837
286.3,2371.64
286.4,2372.443
286.5,2373.246
286.6,2374.05
286.7,2374.853
286.8,2375.656
286.9,2376.46
287.0,2377.264
287.1,2378.068
287.2,2378.872
287.3,2379.676
287.4,2380.48
287.5,2381.284
287.6,2382.089
287.7,2382.893
287.8,2383.698
287.9,2384.503
288.0,2385.308
288.1,2386.113
288.2,2386.918
288.3,2387.724
288.4,2388.529
288.5,2389.335
288.6,2390.14
288.7,2390.946
288.8,2391.752
288.9,2392.558
289.0,2393.364
